user_id,regno,active,reflective,sensing,intuitive,verbal,visual,global,sequential,ALA_single,ALA_repeat,WMC_nonlinear,WMC_linear,IRA_H,IRA_Low,IPS_High,IPS_Low
246853,H31/37201/2016,0.63,0.37,0,0,0,0,0,0,0,0,0.31,0.69,0,0,1,0
247251,H31/35313/2015,0.4,0.6,0.86,0.14,0.28,0.72,0.1,0.9,0,0,0.09,0.91,0,0,1,0
247253,H31/36001/2015,0.81,0.19,0,0,0,0,0,0,0,0,0.01,0.99,0,0,1,0
247255,H31/36444/2016,0.3,0.7,0,0,0,0,0,0,0,0,0.15,0.85,0,0,0,0
247256,H31/36491/2016,0.65,0.35,0,0,0,0,0,0,1,0,0.02,0.98,0.47,0.76,1,0
247258,H31/36664/2016,0.58,0.42,0,0,0,0,0,0,1,0,0.05,0.95,0.35,0.58,0,0
247261,H31/37331/2016,0,1,0,0,0,0,0,0,0,0,0.33,0.67,0,0,1,0
247263,H31/37412/2016,0,1,0,0,0,0,0,0,0,0,0.54,0.46,0,0,0,0
247384,V28/36369/2016,0.34,0.66,0,0,0,0,0,0,0,0,0.21,0.79,0,0,0,0
247540,H31/36728/2016,0,0,0,0,0,0,1,0,0,0,0.61,0.39,0,0,0,0
247542,H31/37136/2016,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
247543,H31/37409/2016,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
247787,H31/35539/2015,0.32,0.68,0,0,0,0,0,0,0,0,0.26,0.74,0,0,0,0
247916,H31/36495/2016,0,1,0,0,0,0,0,0,0,0,0.03,0.97,0,0,0,0
248289,H31/36960/2016,0.13,0.87,0,0,0,0,0,0,0,0,0.25,0.75,0,0,0,0
248290,H31/37339/2016,0.39,0.61,0,0,0,0,0,0,1,0,0.02,0.98,0.44,0.72,0,0
248291,H31/37539/2016,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
248294,H31/37755/2016,0.26,0.74,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0
248571,H31/37743/2016,0.43,0.57,0,0,0,0,0,0,0,0,0.09,0.91,0,0,0,0
248572,H31/37796/2016,0.81,0.19,0,0,0,0,0,0,0,0,0.55,0.45,0,0,0,0
248576,H31/37934/2016,0.61,0.39,0,0,0,0,0,0,0,0,0.02,0.98,0,0,0,0
248947,H31/37981/2016,0.39,0.61,0.48,0.52,0.48,0.52,0.12,0.88,0,1,0,1,0.34,0.54,0,0
249846,H31/38322/2016,0.33,0.68,0,0,0,0,0,0,1,0,0,0,0,0,1,0
249908,H31/38342/2016,0.14,0.86,0,0,0,0,0,0,1,0,0,0,0,0,1,0
250002,H31/38355/2016,0,1,0,0,0,0,0,0,0,0,0.39,0.61,0,0,0,0
250097,H31/38360/2016,0.56,0.44,0.77,0.23,0.24,0.76,0.17,0.83,0,0,0.1,0.9,0,0,0,0
250098,H31/38363/2016,0,1,0,0,0,0,0,0,0,0,0.74,0.26,0,0,0,0
250212,H31/1844/2016,0.58,0.42,0,0,0,0,0,0,0,0,0.04,0.96,0,0,0,0
250213,H31/38396/2016,0,0,0,0,0,0,1,0,0,0,0.43,0.57,0,0,0,0
250323,H31/38356/2016,0.18,0.82,0,0,0,0,0,0,0,0,0.04,0.96,0,0,0,0
250412,H31/38430/2016,0.87,0.13,0,0,0,0,0,0,1,0,0.26,0.74,0.43,0.69,0,0
250414,H58/82927/2015,0.82,0.18,0,0,0,0,0,0,0,0,0,0,0,0.43,1,0
250565,H31/38456/2016,0.48,0.52,0.65,0.35,0.24,0.76,0.1,0.9,0,0,0.23,0.77,0,0,0,0
250826,H31/1431/2016,0,0,0,0,0,0,1,0,0,0,0.54,0.46,0,0,1,0
250827,H31/38488/2016,0.47,0.53,0,0,0,0,0,0,0,0,0.13,0.87,0,0,0,0
